               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 111,            0.021155,            0.016868,           0.0027476,             0.90461,             0.77168,             0.85196,             0.63869,            0.019337,           0.0093295,           0.0041854,             0.00637,             0.00637,             0.00637
                 112,            0.022002,             0.01662,           0.0024651,             0.84152,             0.82993,             0.86584,             0.66511,            0.020281,           0.0090799,            0.004297,            0.006337,            0.006337,            0.006337
                 113,            0.020645,            0.018058,           0.0024964,             0.89566,             0.83809,             0.89515,             0.69205,            0.018458,           0.0091689,           0.0047548,            0.006304,            0.006304,            0.006304
                 114,            0.019902,            0.016239,           0.0022841,             0.91987,             0.84249,             0.88287,             0.66804,            0.018427,           0.0094255,           0.0072431,            0.006271,            0.006271,            0.006271
                 115,            0.020987,            0.017265,           0.0030472,             0.85376,             0.79173,             0.84664,             0.62847,            0.018479,           0.0096289,           0.0098018,            0.006238,            0.006238,            0.006238
                 116,            0.021581,            0.017294,           0.0027781,             0.87619,             0.77033,             0.85223,             0.63738,            0.018647,            0.010054,           0.0043479,            0.006205,            0.006205,            0.006205
                 117,             0.02027,            0.017548,           0.0026833,             0.88078,             0.78095,             0.85012,             0.62859,            0.020038,            0.010182,           0.0038333,            0.006172,            0.006172,            0.006172
                 118,            0.020247,            0.016758,           0.0025908,             0.86901,             0.83096,             0.86986,             0.66137,             0.01848,           0.0093361,           0.0037581,            0.006139,            0.006139,            0.006139
                 119,            0.020574,            0.015815,           0.0023719,             0.93417,             0.75477,             0.86929,             0.65606,            0.018057,           0.0096847,            0.003936,            0.006106,            0.006106,            0.006106
                 120,            0.019966,            0.017163,            0.002453,             0.76987,             0.81859,              0.8448,             0.63183,            0.018816,            0.010391,           0.0061561,            0.006073,            0.006073,            0.006073
                 121,            0.020068,            0.017284,           0.0021517,             0.87471,             0.80696,             0.85637,             0.65391,            0.018487,            0.010034,            0.002419,             0.00604,             0.00604,             0.00604
                 122,            0.018723,            0.015898,           0.0024954,             0.93192,             0.82308,             0.87865,             0.67899,             0.01783,           0.0097485,           0.0024589,            0.006007,            0.006007,            0.006007
                 123,            0.019359,            0.016369,           0.0022898,             0.89275,             0.82222,              0.8922,             0.65892,            0.017906,           0.0099415,           0.0023967,            0.005974,            0.005974,            0.005974
                 124,            0.020066,            0.016366,           0.0024338,             0.90774,             0.80324,             0.87644,             0.67393,            0.017784,           0.0097947,           0.0030927,            0.005941,            0.005941,            0.005941
                 125,            0.019999,             0.01637,            0.002351,             0.89809,             0.82011,              0.8922,             0.69623,            0.017071,           0.0090958,           0.0035023,            0.005908,            0.005908,            0.005908
                 126,             0.01935,            0.015886,           0.0026819,             0.93826,             0.78909,             0.89516,             0.69192,            0.018051,           0.0093955,            0.002763,            0.005875,            0.005875,            0.005875
                 127,            0.019463,             0.01609,           0.0022683,             0.90071,             0.84235,             0.87637,             0.67347,            0.018436,           0.0098915,           0.0028343,            0.005842,            0.005842,            0.005842
                 128,            0.019644,            0.015708,           0.0022836,             0.87183,             0.81962,             0.87263,             0.68176,            0.017178,           0.0088436,           0.0055781,            0.005809,            0.005809,            0.005809
                 129,            0.019792,             0.01671,           0.0024776,             0.88081,              0.8525,             0.89376,              0.6766,            0.017378,            0.009519,           0.0035181,            0.005776,            0.005776,            0.005776
                 130,            0.019858,             0.01638,           0.0022397,             0.92172,             0.81157,             0.87011,             0.66554,            0.018643,           0.0094596,           0.0033549,            0.005743,            0.005743,            0.005743
