               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  59,            0.027292,            0.019292,           0.0045879,             0.81018,               0.823,             0.86767,             0.63048,            0.021793,           0.0095797,           0.0060035,            0.008086,            0.008086,            0.008086
                  60,            0.027813,            0.019082,           0.0045728,             0.87271,             0.80757,             0.87593,             0.62203,            0.020426,           0.0090918,           0.0048569,            0.008053,            0.008053,            0.008053
                  61,            0.027773,            0.019724,           0.0047562,             0.90059,             0.74631,             0.85541,             0.61129,            0.021462,           0.0097315,           0.0085591,             0.00802,             0.00802,             0.00802
                  62,            0.025409,            0.021269,           0.0045843,             0.91668,             0.76209,             0.87369,             0.65347,            0.020877,           0.0092852,           0.0034447,            0.007987,            0.007987,            0.007987
                  63,            0.026725,             0.01979,           0.0051636,             0.90888,             0.78509,              0.8627,              0.6155,            0.022035,           0.0094831,           0.0046846,            0.007954,            0.007954,            0.007954
                  64,            0.025769,            0.020455,           0.0041003,             0.85506,             0.79168,             0.86574,              0.6297,            0.020014,           0.0087634,            0.003613,            0.007921,            0.007921,            0.007921
                  65,            0.025582,            0.019524,             0.00416,             0.76389,             0.82983,             0.85324,             0.60507,            0.021061,           0.0098198,           0.0048849,            0.007888,            0.007888,            0.007888
                  66,            0.025164,            0.019639,           0.0050276,             0.82188,             0.71318,             0.81421,             0.59326,            0.020202,           0.0094137,           0.0099644,            0.007855,            0.007855,            0.007855
                  67,            0.025645,            0.019714,            0.004125,             0.82263,             0.83017,             0.84815,             0.62343,            0.021554,           0.0097499,           0.0060139,            0.007822,            0.007822,            0.007822
                  68,            0.025994,            0.019472,           0.0041807,             0.81303,             0.82788,             0.86209,              0.6312,            0.021123,           0.0096543,           0.0051415,            0.007789,            0.007789,            0.007789
                  69,            0.026523,            0.019412,           0.0041462,             0.81722,             0.82264,             0.86041,             0.62512,             0.01979,           0.0092897,           0.0041695,            0.007756,            0.007756,            0.007756
                  70,            0.025648,             0.01856,           0.0037092,             0.84806,             0.73549,             0.78413,             0.55077,             0.02101,            0.011384,           0.0054253,            0.007723,            0.007723,            0.007723
                  71,            0.026001,            0.019894,           0.0038379,             0.81056,             0.78224,              0.8252,             0.60715,            0.020785,           0.0090948,           0.0036202,             0.00769,             0.00769,             0.00769
                  72,             0.02545,            0.020763,            0.004562,             0.83691,             0.75622,             0.82901,             0.61137,            0.021082,           0.0092965,           0.0034625,            0.007657,            0.007657,            0.007657
                  73,            0.024346,            0.019731,           0.0043946,              0.8198,             0.80887,             0.83565,             0.61298,            0.020486,           0.0092949,           0.0047722,            0.007624,            0.007624,            0.007624
                  74,            0.024634,            0.019408,           0.0037183,             0.85742,             0.74038,             0.84235,              0.6385,            0.017761,           0.0084322,           0.0044664,            0.007591,            0.007591,            0.007591
                  75,            0.025024,            0.020071,           0.0038664,              0.8175,             0.78922,             0.84621,             0.63977,            0.018381,           0.0086403,           0.0036414,            0.007558,            0.007558,            0.007558
                  76,             0.02387,            0.019441,           0.0038738,                0.85,             0.78181,             0.84047,             0.63196,            0.020989,           0.0092613,           0.0070796,            0.007525,            0.007525,            0.007525
                  77,            0.024067,            0.018646,           0.0033454,               0.747,             0.85158,             0.86026,             0.65514,            0.019136,           0.0082272,           0.0082261,            0.007492,            0.007492,            0.007492
                  78,            0.022984,            0.019342,           0.0037826,             0.77321,             0.85753,             0.87517,             0.64416,             0.01995,           0.0086838,           0.0074022,            0.007459,            0.007459,            0.007459
                  79,             0.02237,            0.019116,           0.0037723,             0.75432,             0.80256,             0.84772,             0.61844,            0.020107,           0.0093696,            0.009749,            0.007426,            0.007426,            0.007426
                  80,            0.023064,            0.018148,           0.0031868,             0.85714,              0.7597,             0.85625,             0.63372,             0.02088,           0.0097883,           0.0058102,            0.007393,            0.007393,            0.007393
                  81,            0.024103,            0.019367,           0.0030739,             0.83388,             0.77396,             0.85046,             0.61708,            0.020482,           0.0099244,           0.0073065,             0.00736,             0.00736,             0.00736
                  82,             0.02249,            0.017869,           0.0034252,             0.87127,             0.80781,             0.85284,             0.61136,            0.021628,              0.0102,           0.0041902,            0.007327,            0.007327,            0.007327
                  83,            0.024764,             0.01928,           0.0036241,             0.85151,             0.80144,             0.86879,             0.63715,             0.02094,           0.0094318,           0.0039166,            0.007294,            0.007294,            0.007294
                  84,             0.02315,            0.018901,           0.0041943,             0.79491,             0.79667,             0.84316,             0.63076,            0.020912,           0.0096754,           0.0039921,            0.007261,            0.007261,            0.007261
                  85,            0.022863,            0.018775,           0.0035586,             0.82184,             0.81886,             0.85756,             0.64076,            0.021509,           0.0092759,           0.0052361,            0.007228,            0.007228,            0.007228
                  86,            0.022897,            0.018265,           0.0043665,             0.90804,             0.76191,             0.86252,             0.63491,            0.021457,           0.0091147,           0.0037938,            0.007195,            0.007195,            0.007195
                  87,            0.023351,            0.018139,           0.0036594,             0.86838,             0.77673,             0.85759,             0.62619,            0.020507,           0.0091726,           0.0085133,            0.007162,            0.007162,            0.007162
                  88,              0.0231,            0.018195,           0.0036704,              0.8951,             0.75462,             0.86593,             0.65201,            0.020736,           0.0092017,            0.005392,            0.007129,            0.007129,            0.007129
                  89,               0.022,            0.017835,           0.0040149,             0.84177,             0.78432,             0.84969,              0.6472,            0.021893,           0.0095233,           0.0032148,            0.007096,            0.007096,            0.007096
                  90,            0.022801,            0.017809,           0.0038685,             0.91658,             0.77168,             0.85203,              0.6233,            0.020768,           0.0092981,           0.0035409,            0.007063,            0.007063,            0.007063
                  91,            0.023393,            0.018572,           0.0039986,             0.89816,             0.76065,             0.88589,             0.65103,            0.021065,           0.0097119,             0.00514,             0.00703,             0.00703,             0.00703
                  92,            0.021907,            0.018617,           0.0036165,             0.92092,             0.84186,              0.9002,              0.6892,            0.020556,           0.0088206,           0.0034114,            0.006997,            0.006997,            0.006997
                  93,            0.023057,            0.017926,           0.0038295,             0.78781,             0.86189,             0.88137,             0.66898,             0.02033,            0.008478,           0.0052427,            0.006964,            0.006964,            0.006964
                  94,            0.022773,            0.018065,           0.0028134,             0.88547,             0.81395,             0.87971,             0.67355,            0.019562,           0.0090972,           0.0072525,            0.006931,            0.006931,            0.006931
                  95,            0.022246,            0.016563,           0.0034739,             0.90885,             0.80145,             0.87715,             0.65256,            0.018966,           0.0092731,           0.0059358,            0.006898,            0.006898,            0.006898
                  96,            0.021304,            0.017982,            0.002687,             0.87204,             0.84903,             0.88815,             0.66789,            0.019066,            0.008883,           0.0032938,            0.006865,            0.006865,            0.006865
                  97,            0.021753,            0.019354,           0.0028416,             0.75684,              0.9052,             0.89802,             0.67094,            0.019768,              0.0087,            0.005356,            0.006832,            0.006832,            0.006832
